red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
26027,30531,175,66941,5926,0,Garage Door,1.49,16.44,799
2677,11014,47,92820,23042,0,Large Wood Box,1.49,5.92,813
94,12644,23,116833,6,0,Locker,1.59,8.04,770
5678,16676,38,97519,9689,0,Wood Storage Box,1.49,3.83,812
10,33056,31,91844,4659,0,Vending Machine,1.08,6.31,799
3246,20126,524,80723,24981,0,Metal Chest Plate,0.99,1.25,405
1598,17908,1837,83878,24379,0,Metal Facemask,0.99,1.51,405
48,10300,42,112829,6381,0,Assault Rifle,1.99,1.69,1100
3550,5816,20,114090,6124,0,Bone Club,1.38,2.35,868
599,20912,23,107599,467,0,Sheet Metal Double Door,1.99,4.75,211
8,25020,19,102934,1619,0,Garage Door,1.49,1.62,336
420,9121,45,113045,6969,0,Assault Rifle,1.99,2.49,1151
12,5511,33,118097,5947,0,Bolt Action Rifle,1.99,1.65,287
10,20692,47,87776,21075,0,Large Wood Box,1.49,3.15,743
62,7254,111,121249,924,0,Crossbow,1.99,1.66,554
1851,5390,30,119902,2427,0,Double Barrel Shotgun,1.99,3.42,974
17,28434,27,91767,9355,0,Sheet Metal Door,1.49,2.67,743
823,18132,384,76104,34157,0,Garage Door,1.49,3.62,505
2,17728,46,101161,10663,0,Coffee Can Helmet,1.16,1.0,792
4895,18577,38,102591,3499,0,Hoodie,0.99,0.63,98
3,19469,100,99767,10261,0,Road Sign Kilt,1.15,2.05,792
22,16927,50,102371,10230,0,Python Revolver,1.99,1.62,610
367,15133,1357,106772,5971,0,Revolver,1.99,2.66,211
57,6654,336,120156,2397,0,Semi-Automatic Rifle,1.99,3.87,736
1,11001,56,98052,20490,0,Hide Halterneck,5.38,9.53,1279
61,19397,52,98601,11489,0,Road Sign Jacket,1.19,0.85,792
3338,10266,44,112571,3381,0,Pants,0.99,0.76,98
1,13627,30,114832,1110,0,Hide Vest,1.56,4.43,1170
1,28017,77,101030,475,0,Python Revolver,1.99,1.13,491
2,25072,57,102427,2042,0,Metal Chest Plate,16.88,7.08,1245
7,15351,52,113560,630,0,Road Sign Kilt,0.99,2.69,666
21,16654,36,111074,1815,0,Road Sign Jacket,0.99,2.33,666
0,9154,71,117444,2931,0,Coffee Can Helmet,0.99,7.74,666
0,16612,28,112529,431,0,Bandana Mask,2.49,0.51,1744
9,12251,42,115241,2057,0,Assault Rifle,1.99,1.98,1065
3,49155,18,77922,2502,0,Garage Door,2.41,10.97,911
354,19394,47,108885,920,0,Hoodie,0.99,0.92,729
2278,18169,45,106587,2521,0,Pants,0.99,0.91,730
5260,21999,36,98834,3471,0,Riot Helmet,2.15,4.63,1086
28,20132,43,106163,3234,0,Semi-Automatic Pistol,14.0,6.54,1064
0,6780,47,122115,658,0,Hoodie,1.12,1.0,819
2,12540,47,116861,150,0,Pants,1.17,0.9,819
4,7554,484,121170,388,0,Metal Chest Plate,1.49,8.01,1233
1922,9392,38,115068,3180,0,Pump Shotgun,2.49,0.72,1702
2,9432,34,119752,380,0,Stone Hatchet,3.18,5.17,1155
8681,18218,2211,95097,5393,0,Large Wood Box,2.18,2.53,855
251,36959,26,91750,614,0,Sheet Metal Door,6.2,4.49,764
2,8913,1769,114144,4772,0,Assault Rifle,1.99,3.84,918
1160,11573,4335,102248,10284,0,Revolver,1.99,2.11,50
1347,2638,33,114519,11063,0,Furnace,1.49,2.51,405
95,2332,106,125533,1534,0,Hunting Bow,1.99,1.77,49
1980,47922,1076,67876,10746,0,Garage Door,1.49,21.03,946
1434,23965,44,100958,3199,0,Road Sign Jacket,6.25,1.14,1258
75,26588,57,100786,2094,0,Road Sign Kilt,3.0,2.67,1258
